時間,價格,柱狀圖,MACD線,信號線,交易信號,信號類型,交易序號,持倉狀態,信號有效性
2025-07-15 01:00:00,3515079.1,-8564.657001901887,15476.065728916321,24040.72273081821,⚪ 持有,hold,0,空倉,True
2025-07-15 02:00:00,3513960.7,-9639.420189818371,11991.447493545245,21630.867683363616,⚪ 持有,hold,0,空倉,True
2025-07-15 03:00:00,3520442.8,-9591.278612712402,9641.769417473115,19233.048030185517,⚪ 持有,hold,0,空倉,True
2025-07-15 04:00:00,3530188.7,-8611.697188949962,8468.426543998066,17080.12373294803,⚪ 持有,hold,0,空倉,True
2025-07-15 05:00:00,3528038.6,-7839.205720120897,7281.116582796909,15120.322302917806,⚪ 持有,hold,0,空倉,True
2025-07-15 06:00:00,3530000.0,-6956.756041991968,6424.377250427846,13381.133292419814,⚪ 持有,hold,0,空倉,True
2025-07-15 07:00:00,3522473.3,-6641.298680666445,5079.509941586759,11720.808622253204,⚪ 持有,hold,0,空倉,True
2025-07-15 08:00:00,3513999.8,-6743.043616208868,3292.004101992119,10035.047718200987,⚪ 持有,hold,0,空倉,True
2025-07-15 09:00:00,3485360.6,-8372.508334098136,-430.58769942168146,7941.920634676454,⚪ 持有,hold,0,空倉,True
2025-07-15 10:00:00,3472274.0,-9862.48574326987,-4386.186544410884,5476.2991988589865,⚪ 持有,hold,0,空倉,True
2025-07-15 11:00:00,3444565.6,-12097.578648620163,-9645.674111916218,2451.9045367039453,⚪ 持有,hold,0,空倉,True
2025-07-15 12:00:00,3454480.3,-12253.937071867935,-12865.516803130973,-611.5797312630386,⚪ 持有,hold,0,空倉,True
2025-07-15 13:00:00,3451091.2,-11920.276661190162,-15511.925557750743,-3591.64889656058,⚪ 持有,hold,0,空倉,True
2025-07-15 14:00:00,3438849.9,-11834.73097063784,-18385.06260985788,-6550.3316392200395,⚪ 持有,hold,0,空倉,True
2025-07-15 15:00:00,3432280.7,-11520.22930959237,-20950.6182762105,-9430.388966618131,⚪ 持有,hold,0,空倉,True
2025-07-15 16:00:00,3430505.5,-10746.510365376973,-22863.52692333935,-12117.016557962375,⚪ 持有,hold,0,空倉,True
2025-07-15 17:00:00,3431040.1,-9553.623039349375,-24059.045357149094,-14505.42231779972,⚪ 持有,hold,0,空倉,True
2025-07-15 18:00:00,3440873.4,-7545.346267078014,-23937.105151647236,-16391.758884569223,⚪ 持有,hold,0,空倉,True
2025-07-15 19:00:00,3442800.0,-5618.666125640597,-23415.09154161997,-17796.425415979375,⚪ 持有,hold,0,空倉,True
2025-07-15 20:00:00,3446201.3,-3737.2109428512667,-22467.939094543457,-18730.72815169219,⚪ 持有,hold,0,空倉,True
2025-07-15 21:00:00,3469491.5,-704.9498840260349,-19611.915506724734,-18906.9656226987,⚪ 持有,hold,0,空倉,True
2025-07-15 22:00:00,3415880.0,-2016.4222464186714,-21427.49343072204,-19411.071184303368,⚪ 持有,hold,0,空倉,True
2025-07-15 23:00:00,3425460.9,-1944.3258435769094,-21841.478488774505,-19897.152645197595,⚪ 持有,hold,0,空倉,True
2025-07-16 00:00:00,3450954.7,11.140859020793869,-19883.226571421605,-19894.3674304424,🟢 買1,buy,1,持倉,True
