時間,價格,柱狀圖,MACD線,信號線,交易信號,信號類型,交易序號,持倉狀態,信號有效性
2025-07-27 15:00:00,3485731.8,-740.213750233409,4779.475219936576,5519.688970169985,⚪ 持有,hold,0,空倉,True
2025-07-27 16:00:00,3481349.5,-1198.3248438891042,4021.782915308606,5220.10775919771,⚪ 持有,hold,0,空倉,True
2025-07-27 17:00:00,3479406.4,-1594.2366624251026,3227.311931166332,4821.548593591435,⚪ 持有,hold,0,空倉,True
2025-07-27 18:00:00,3488842.9,-1200.5557535611115,3320.8539016400464,4521.409655201158,⚪ 持有,hold,0,空倉,True
2025-07-27 19:00:00,3483823.6,-1252.4098990912753,2955.8972813370638,4208.307180428339,⚪ 持有,hold,0,空倉,True
2025-07-27 20:00:00,3485531.6,-1148.6234399765153,2772.5278804576956,3921.151320434211,⚪ 持有,hold,0,空倉,True
2025-07-27 21:00:00,3488181.0,-890.0292289354193,2808.614784264937,3698.6440132003563,⚪ 持有,hold,0,空倉,True
2025-07-27 22:00:00,3493556.5,-371.95856398078104,3233.69580822438,3605.654372205161,⚪ 持有,hold,0,空倉,True
2025-07-27 23:00:00,3496000.0,95.32317355860414,3724.8083391534165,3629.4851655948123,⚪ 持有,hold,0,空倉,True
2025-07-28 00:00:00,3510444.2,1271.9150918932883,5219.379030461423,3947.463938568135,⚪ 持有,hold,0,空倉,True
2025-07-28 01:00:00,3511581.7,1979.30853844369,6421.599611622747,4442.291073179057,⚪ 持有,hold,0,空倉,True
2025-07-28 02:00:00,3507452.5,2014.9150048243264,6960.9348292094655,4946.019824385139,⚪ 持有,hold,0,空倉,True
2025-07-28 03:00:00,3505168.9,1740.7813383769553,7121.996497356333,5381.2151589793775,⚪ 持有,hold,0,空倉,True
2025-07-28 04:00:00,3501960.7,1223.9056923561038,6911.097274424508,5687.191582068404,⚪ 持有,hold,0,空倉,True
2025-07-28 05:00:00,3511939.9,1420.7790828786237,7463.165435666684,6042.38635278806,⚪ 持有,hold,0,空倉,True
2025-07-28 06:00:00,3520728.7,1975.489323508471,8511.74800717365,6536.258683665179,⚪ 持有,hold,0,空倉,True
2025-07-28 07:00:00,3514637.6,1771.3029462955974,8750.387366534676,6979.084420239079,⚪ 持有,hold,0,空倉,True
